Covid_vaccinated_in_the_world;;;;;
country;iso_alpha;doses_per100;total_dose;vaccinated_in_percentage;fully_vaccinated_in_percentage
Libya;LBY;4.7;317809;4.7;0.0
Honduras;HND;4.6;447023;4.0;0.6
Pakistan;PAK;4.4;9559910;3.4;1.2
Togo;TGO;4.3;347246;3.4;0.9
Ghana;GHA;4.0;1228216;2.8;1.2
Guatemala;GTM;3.9;647339;3.1;0.8
Namibia;NAM;3.9;96433;3.3;0.5
Angola;AGO;3.8;1222630;2.4;1.4
Ukraine;UKR;3.7;1661410;3.2;0.5
Taiwan;TWN;3.4;799129;3.4;0.0
Senegal;SEN;3.3;545915;2.9;0.4
Egypt;EGY;3.3;3340216;2.8;0.5
Rwanda;RWA;3.2;400096;2.8;0.4
Eswatini;SWZ;3.1;35227;3.1;0.0
Guinea;GIN;3.0;384974;2.3;0.7
South Africa;ZAF;2.9;1690026;0.0;0.0
Venezuela;VEN;2.6;739962;2.1;0.5
Ivory Coast;CIV;2.6;662848;2.6;0.0
Nicaragua;NIC;2.6;167500;2.6;0.0
Solomon Islands;SLB;2.5;17000;2.5;0.0
Djibouti;DJI;2.2;21357;1.3;0.9
Kyrgyzstan;KGZ;2.1;135578;1.4;0.7
Kenya;KEN;2.0;1059117;1.9;0.1
Malawi;MWI;2.0;369674;2.0;0.0
Gambia;GMB;1.7;40801;1.3;0.4
Lesotho;LSO;1.7;36759;1.7;0.0
Ethiopia;ETH;1.7;1920676;0.0;0.0
Uganda;UGA;1.7;757664;1.7;0.0
Afghanistan;AFG;1.7;641295;1.3;0.4
Armenia;ARM;1.6;46503;1.6;0.0
Iraq;IRQ;1.6;613840;1.1;0.4
Gabon;GAB;1.5;32105;1.0;0.5
Vietnam;VNM;1.5;1411548;1.4;0.1
Mozambique;MOZ;1.3;394930;1.1;0.2
Liberia;LBR;1.3;64129;1.3;0.0
Sierra Leone;SLE;1.1;88523;1.0;0.2
Sudan;SDN;1.1;483520;1.0;0.2
Nigeria;NGA;1.1;2225765;1.0;0.1
Republic of the Congo;COD;1.1;57613;0.0;0.0
Tajikistan;TJK;1.0;97290;0.9;0.1
Mauritania;MRT;1.0;44628;0.8;0.2
Guinea-Bissau;GNB;1.0;18706;1.0;0.0
Somalia;SOM;0.9;143379;0.8;0.1
Zambia;ZMB;0.8;147115;0.8;0.0
Mali;MLI;0.8;157129;0.6;0.2
Niger;NGA;0.8;180987;0.7;0.0
Yemen;YEM;0.8;221380;0.8;0.0
Turkmenistan;TKM;0.7;41993;0.5;0.2
Central African Republic;CAF;0.6;26541;0.5;0.0
Papua New Guinea;PNG;0.4;38176;0.4;0.0
Syria;SYR;0.4;71519;0.4;0.0
Madagascar;MDG;0.4;97300;0.4;0.0
Cameroon;CMR;0.3;86451;0.3;0.1
Vanuatu;VUT;0.3;860;0.3;0.0
Benin;BEN;0.2;26624;0.2;0.0
South Sudan;SSD;0.1;11889;0.1;0.0
Burkina Faso;BFA;0.0;7881;0.0;0.0
Congo;COG;0.0;31871;0.0;0.0
Chad;TCD;0.0;5324;0.0;0.0
